step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
1390,0.00002967,183.09,20.3610,21.5925,16.7266,57317,4860,543
1400,0.00002989,174.33,20.4576,18.8813,17.8084,57949,4373,397
1410,0.00003010,173.06,20.5210,20.3057,18.1725,57626,4577,518
1420,0.00003031,178.76,20.6826,20.9138,17.5557,57288,4899,533
1430,0.00003053,167.63,20.8752,19.5606,17.9471,57533,4651,536
1440,0.00003074,171.08,21.0927,20.6864,17.7814,57160,4938,622
1450,0.00003095,173.41,21.2755,19.3340,17.1728,57556,4609,555
1460,0.00003117,172.83,21.4915,18.1754,18.3034,57434,4739,548
1470,0.00003138,171.51,21.6444,19.9737,18.1525,57741,4512,466
1480,0.00003159,170.65,21.7232,19.7104,16.5593,57450,4732,538
1490,0.00003181,183.73,21.8210,20.3033,17.7580,57585,4662,474
1500,0.00003202,179.94,21.9296,19.1499,17.5034,57389,4817,513
1510,0.00003223,175.15,22.0796,19.1038,16.9002,57028,5072,620
1520,0.00003245,171.73,22.2204,20.5245,17.9815,57736,4519,465
1530,0.00003266,179.17,22.4040,19.7881,17.4854,57424,4760,536
1540,0.00003287,175.12,22.6025,18.7352,19.0276,57472,4732,516
1550,0.00003309,181.08,22.7687,17.8751,17.0047,57718,4486,516
1560,0.00003330,174.34,22.9200,18.0042,17.3438,57585,4638,498
1570,0.00003351,168.00,23.0271,17.9368,17.9321,57494,4759,468
1580,0.00003373,175.87,23.1199,20.4762,17.8568,57462,4684,574
1590,0.00003394,178.81,23.2384,17.5382,17.8863,57177,4940,602
1600,0.00003415,173.95,23.3716,17.6420,17.7354,57698,4546,477
1610,0.00003437,170.30,23.5930,16.8219,18.1555,57346,4835,539
1620,0.00003458,192.83,23.7252,18.0014,18.7509,58099,4263,358
1630,0.00003479,176.50,23.8674,18.3779,18.1393,57915,4430,375
1640,0.00003501,178.39,23.9954,17.9574,18.7649,57371,4800,549
1650,0.00003522,162.65,24.0843,17.0368,18.3015,56818,5184,718
1660,0.00003543,183.97,24.1556,16.8344,17.1479,57592,4685,443
1670,0.00003565,167.23,24.2504,16.7302,17.7407,57432,4749,539
1680,0.00003586,173.65,24.3773,17.3612,17.8382,57452,4743,525
1690,0.00003607,179.08,24.5200,18.2205,17.7375,57411,4788,521
1700,0.00003629,178.35,24.6401,17.3909,18.5060,57581,4684,456
1710,0.00003650,177.17,24.7729,17.2851,17.9349,57600,4621,499
1720,0.00003671,171.59,24.8995,17.3487,17.2680,57249,4918,553
1730,0.00003693,187.65,24.9842,17.0605,17.0831,57025,5082,614
1740,0.00003714,190.52,25.1034,17.9297,17.5221,57534,4601,584
1750,0.00003735,187.75,25.2342,15.8033,18.4572,57913,4389,418
1760,0.00003757,181.52,25.3880,16.6227,17.2128,57785,4445,490
