step,lr,total_its,embed_norm,grad_bb,grad_pfc
1950,0.00004162,484.36,120.4030,9.1057,17.9947
1960,0.00004183,431.23,120.7116,8.8222,17.0615
1970,0.00004205,206.50,122.1719,9.1337,17.3071
1980,0.00004226,465.91,121.3686,8.4044,17.3305
1990,0.00004247,357.53,123.4764,8.3218,17.6965
2000,0.00004269,398.47,123.8035,8.8654,19.1100
2010,0.00004290,481.44,123.8098,8.3856,18.0522
2020,0.00004311,489.38,125.9161,8.1033,18.2588
2030,0.00004333,272.07,127.2418,8.6555,18.1580
2040,0.00004354,482.06,126.7988,8.3446,17.6083
2050,0.00004375,479.06,128.5826,8.0257,17.2971
2060,0.00004397,427.53,127.3990,8.4512,18.0857
2070,0.00004418,309.87,128.1203,8.3737,18.0169
2080,0.00004439,487.59,130.0126,8.8876,18.0989
2090,0.00004461,485.49,130.6200,7.9305,17.9512
2100,0.00004482,485.28,129.9601,8.2502,17.3900
2110,0.00004503,379.50,131.5083,8.6366,17.2986
2120,0.00004525,481.47,132.7005,8.0035,17.4470
2130,0.00004546,482.82,133.3470,8.2109,17.0502
2140,0.00004567,415.16,134.5966,7.8362,16.8527
2150,0.00004589,183.22,136.5535,7.7286,17.1784
2160,0.00004610,487.15,135.0022,8.1505,17.2337
2170,0.00004631,253.04,135.6459,8.6502,17.8276
2180,0.00004653,492.86,138.4988,8.3964,17.7158
2190,0.00004674,489.96,136.9112,7.3284,18.0957
2200,0.00004695,476.67,137.2517,8.8962,17.2885
2210,0.00004717,251.35,134.7915,8.7788,17.9380
2220,0.00004738,481.65,136.8170,7.7399,18.5690
2230,0.00004759,490.52,137.2013,8.1536,17.3165
2240,0.00004781,391.66,138.2049,7.8661,18.1118
2250,0.00004802,310.43,140.2729,8.0270,18.1519
2260,0.00004823,479.15,140.7460,7.6016,18.0967
2270,0.00004845,482.06,140.3121,8.0269,17.8477
2280,0.00004866,479.24,140.0441,7.8534,16.9988
2290,0.00004887,474.85,141.5413,7.9382,18.2805
2300,0.00004909,481.65,141.4579,8.9084,17.9895
2310,0.00004930,210.82,143.0498,8.3925,18.5755
2320,0.00004951,468.03,143.2461,7.7810,17.0078
2330,0.00004973,482.73,144.5913,7.9807,17.9587
2340,0.00004994,486.62,143.9495,7.8849,18.0471
2350,0.00005015,480.21,148.2930,7.6889,18.3611
2360,0.00005037,476.07,145.9153,8.1389,17.6514
2370,0.00005058,482.38,147.9374,8.1234,17.2363
2380,0.00005079,478.96,148.3982,7.9709,18.9135
2390,0.00005101,483.68,147.6989,7.8374,17.1315
2400,0.00005122,474.99,147.7570,7.7353,16.6294
2410,0.00005143,487.41,150.2920,7.9799,18.1993
2420,0.00005165,490.09,150.4701,7.6414,18.3382
2430,0.00005186,480.21,150.4618,7.7016,18.3294
2440,0.00005207,485.68,152.4684,7.8554,17.7092
2450,0.00005229,467.41,151.2769,8.0755,17.5559
2460,0.00005250,480.26,152.8133,8.0798,17.7663
