step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
1640,0.00003501,211.36,23.0933,9.6828,18.4801,57524,4600,595
1650,0.00003522,194.31,23.1764,9.5084,17.5010,57501,4660,559
1660,0.00003543,188.30,23.2753,8.9929,17.6868,57438,4766,516
1670,0.00003565,217.89,23.3912,9.3925,18.0442,57201,4864,655
1680,0.00003586,211.77,23.4630,9.1699,18.1279,56877,5228,615
1690,0.00003607,218.72,23.6585,10.5150,18.7347,57260,4960,501
1700,0.00003629,208.29,23.7390,8.8266,17.7027,58155,4198,366
1710,0.00003650,204.32,23.7579,8.7394,16.9569,57424,4834,462
1720,0.00003671,197.32,23.9355,9.6536,18.5144,57268,4919,532
1730,0.00003693,193.96,24.1126,9.5489,17.7675,57272,4862,586
1740,0.00003714,236.00,24.2627,8.9982,17.1273,57366,4818,537
1750,0.00003735,213.37,24.4242,8.9579,16.9124,57620,4630,470
1760,0.00003757,266.19,24.4923,9.6712,17.9211,57653,4574,493
1770,0.00003778,200.36,24.6313,9.0710,18.1272,57204,4963,553
1780,0.00003799,205.28,24.7743,9.1400,17.7279,58123,4236,361
1790,0.00003821,216.65,24.8072,8.9462,17.5460,57014,5061,646
1800,0.00003842,214.94,24.9622,7.8562,17.8121,57568,4665,488
1810,0.00003863,203.96,25.0450,8.8227,17.4596,57491,4721,508
1820,0.00003885,210.40,25.1103,8.5188,17.5301,57751,4495,474
1830,0.00003906,203.37,25.1978,8.6753,17.8894,57316,4860,544
1840,0.00003927,210.53,25.3977,8.3400,17.3617,57170,4899,651
1850,0.00003949,212.31,25.5784,8.2924,16.9173,57120,4969,631
1860,0.00003970,181.72,25.6480,8.7774,16.9247,57456,4715,549
1870,0.00003991,205.45,25.7169,8.6377,18.0014,57562,4656,502
1880,0.00004013,202.98,25.7698,8.8183,17.6163,57173,4968,578
1890,0.00004034,214.75,25.8309,8.0058,17.3786,57374,4806,540
1900,0.00004055,214.08,25.9292,9.2728,16.3900,57754,4505,462
1910,0.00004077,224.54,26.1356,7.8656,17.9621,57718,4498,504
1920,0.00004098,201.38,26.2532,8.9723,17.2775,57507,4754,459
1930,0.00004119,197.10,26.2483,8.5587,18.5394,57494,4719,506
1940,0.00004141,204.34,26.3387,8.3658,18.0695,56957,5111,652
1950,0.00004162,205.32,26.4921,8.0038,18.4164,57545,4582,593
1960,0.00004183,213.88,26.6631,8.5631,16.7798,57553,4695,472
1970,0.00004205,229.62,26.8560,7.7278,18.5822,57097,5017,606
1980,0.00004226,239.13,26.9956,8.0450,18.0068,57596,4608,516
1990,0.00004247,217.47,26.9878,7.8167,17.1970,57343,4810,567
2000,0.00004269,193.16,27.0565,7.9649,17.9894,57828,4449,443
2010,0.00004290,221.63,27.0824,8.1954,17.1900,57533,4687,500
2020,0.00004311,217.91,27.2296,7.9906,16.8168,57472,4788,459
2030,0.00004333,222.19,27.3460,7.7405,16.9215,57422,4729,568
2040,0.00004354,239.19,27.3206,8.3042,17.1846,57504,4719,498
2050,0.00004375,236.13,27.5531,8.6981,18.4829,57328,4864,528
2060,0.00004397,224.40,27.5344,8.4953,17.9503,57318,4859,544
2070,0.00004418,211.25,27.7381,7.8418,17.1322,57778,4459,483
2080,0.00004439,228.82,27.8223,8.4592,18.2807,57170,5035,515
2090,0.00004461,219.03,27.9005,8.2235,17.8754,57148,4957,615
2100,0.00004482,216.08,28.0462,8.4565,17.8737,56620,5403,697
2110,0.00004503,214.78,28.1897,8.4283,17.4837,57523,4694,502
2120,0.00004525,241.29,28.3555,7.6159,17.4573,57786,4465,468
2130,0.00004546,227.67,28.4751,7.9625,17.6348,57346,4832,542
2140,0.00004567,211.89,28.5217,7.7586,18.0266,57438,4759,523
2150,0.00004589,216.82,28.6774,8.4853,17.5156,57263,4878,579
2160,0.00004610,209.03,28.6628,7.5422,16.6138,57535,4617,568
2170,0.00004631,254.63,28.7155,7.2295,17.6110,57319,4876,525
2180,0.00004653,238.11,28.9229,7.5555,18.1574,57629,4631,460
2190,0.00004674,220.76,28.9964,7.4445,17.3782,57785,4407,528
2200,0.00004695,233.11,29.1581,8.0055,17.1122,57612,4646,461
2210,0.00004717,226.31,29.1978,7.8009,18.1736,57643,4599,477
2220,0.00004738,255.73,29.2688,7.6284,18.1463,57323,4803,594
2230,0.00004759,276.92,29.2693,7.1788,18.3371,57725,4578,416
2240,0.00004781,220.77,29.4024,8.1255,17.5231,57093,5052,574
2250,0.00004802,195.09,29.4826,7.5398,17.3067,57893,4396,432
2260,0.00004823,218.16,29.5731,7.7662,18.1129,56965,5119,637
2270,0.00004845,207.79,29.6962,7.8353,17.2923,57934,4385,401
2280,0.00004866,198.17,29.8128,7.2299,17.8026,57950,4365,405
2290,0.00004887,213.48,30.0189,7.5761,17.0923,57338,4783,599
2300,0.00004909,215.80,29.8297,7.4390,18.1733,57334,4845,541
2310,0.00004930,244.48,30.0337,7.8141,18.1190,57396,4752,572
2320,0.00004951,211.71,30.0380,7.6452,18.0787,57128,5026,567
2330,0.00004973,225.13,30.3805,7.1975,18.3351,57756,4508,455
2340,0.00004994,218.23,30.4237,7.9569,18.1499,57967,4342,411
2350,0.00005015,224.74,30.6363,7.1799,17.1655,57305,4830,586
2360,0.00005037,214.54,30.6802,8.0590,17.4898,57500,4708,512
2370,0.00005058,221.94,30.7293,7.8516,19.3472,57592,4601,527
2380,0.00005079,218.07,30.6630,7.7672,17.2764,56889,5162,669
2390,0.00005101,212.62,30.7186,7.8056,17.3200,57753,4472,495
2400,0.00005122,250.60,30.8170,7.8155,18.4069,57404,4723,594
2410,0.00005143,228.14,31.0269,6.7986,18.0187,57546,4674,500
2420,0.00005165,221.67,31.3149,6.9555,18.0819,57867,4421,432
2430,0.00005186,209.46,31.3405,6.6263,19.3411,57485,4711,524
2440,0.00005207,213.02,31.4877,7.3482,16.7747,57596,4634,489
2450,0.00005229,238.13,31.6963,7.4935,18.2768,57824,4413,483
2460,0.00005250,223.38,31.7099,6.7695,17.1618,56991,5091,638
2470,0.00005271,259.07,31.6667,7.0845,17.5766,57404,4775,541
2480,0.00005293,212.63,31.8322,7.9389,18.9146,57879,4385,456
2490,0.00005314,240.61,31.9631,7.5637,18.1626,57230,4929,561
2500,0.00005335,224.05,32.1950,7.2424,17.9489,57558,4625,537
2510,0.00005357,299.89,32.3581,6.8210,17.7134,57604,4642,474
2520,0.00005378,210.59,32.4282,7.0551,17.4733,57654,4586,481
2530,0.00005399,214.80,32.4510,6.6786,17.8305,57387,4755,578
2540,0.00005421,260.41,32.4380,7.1716,16.5377,57529,4652,539
2550,0.00005442,231.80,32.5241,6.9234,18.0011,58168,4166,386
2560,0.00005463,247.66,32.3626,7.4002,17.9524,57276,4874,570
2570,0.00005485,234.07,32.4396,7.6920,18.6905,57386,4806,528
2580,0.00005506,215.05,32.6634,7.0442,17.2569,57480,4752,488
2590,0.00005527,237.56,33.0328,7.0632,17.5348,57742,4560,418
2600,0.00005549,233.42,32.9654,7.1869,18.4427,57525,4698,498
2610,0.00005570,227.40,33.1548,7.0794,18.5550,57600,4643,476
2620,0.00005591,214.20,32.8959,6.5435,17.3600,57468,4711,541
2630,0.00005613,259.29,33.2818,7.1268,18.1451,57547,4665,508
2640,0.00005634,278.85,33.3667,6.8572,17.0473,57303,4884,534
2650,0.00005655,225.64,33.5426,7.4939,17.0854,58137,4198,385
2660,0.00005677,243.65,33.3860,6.4646,17.5918,57629,4613,479
2670,0.00005698,250.42,33.7381,6.8460,18.3086,57750,4494,476
2680,0.00005719,220.42,33.5522,6.8760,17.7848,57764,4510,445
