step,lr,total_its
5070,0.00010818,495.42
5080,0.00010839,500.07
5090,0.00010861,482.13
5100,0.00010882,476.76
5110,0.00010903,494.85
5120,0.00010925,499.06
5130,0.00010946,488.28
5140,0.00010967,478.22
5150,0.00010989,486.65
5160,0.00011010,429.61
5170,0.00011031,447.01
5180,0.00011053,459.56
5190,0.00011074,319.77
5200,0.00011095,375.61
5210,0.00011117,271.38
5220,0.00011138,339.63
5230,0.00011159,490.78
5240,0.00011181,503.02
5250,0.00011202,485.99
5260,0.00011223,472.46
5270,0.00011245,500.75
5280,0.00011266,496.28
5290,0.00011287,483.62
5300,0.00011309,483.36
5310,0.00011330,489.96
5320,0.00011351,504.44
5330,0.00011373,480.59
5340,0.00011394,502.88
5350,0.00011415,491.45
5360,0.00011437,497.06
5370,0.00011458,481.49
5380,0.00011479,511.10
5390,0.00011501,490.15
5400,0.00011522,500.32
5410,0.00011543,484.08
5420,0.00011565,512.52
5430,0.00011586,480.61
5440,0.00011607,474.27
5450,0.00011629,503.71
5460,0.00011650,499.93
5470,0.00011671,482.96
5480,0.00011693,490.30
5490,0.00011714,486.48
5500,0.00011735,475.38
5510,0.00011757,505.25
5520,0.00011778,499.98
5530,0.00011799,496.78
5540,0.00011821,483.33
5550,0.00011842,497.63
5560,0.00011863,493.28
5570,0.00011885,505.77
5580,0.00011906,485.87
5590,0.00011927,463.53
5600,0.00011949,475.71
5610,0.00011970,476.54
5620,0.00011991,479.14
5630,0.00012013,482.93
5640,0.00012034,389.98
5650,0.00012055,372.58
5660,0.00012077,453.74
5670,0.00012098,302.11
5680,0.00012119,492.89
5690,0.00012141,483.80
5700,0.00012162,495.55
5710,0.00012183,506.67
5720,0.00012205,491.48
5730,0.00012226,471.74
5740,0.00012247,494.86
5750,0.00012269,496.97
5760,0.00012290,497.54
5770,0.00012311,479.11
5780,0.00012333,499.58
5790,0.00012354,402.77
5800,0.00012375,504.03
5810,0.00012397,502.64
5820,0.00012418,498.50
5830,0.00012439,489.45
5840,0.00012461,487.74
5850,0.00012482,494.27
5860,0.00012503,484.96
5870,0.00012525,491.21
5880,0.00012546,493.35
5890,0.00012567,490.55
5900,0.00012589,495.73
5910,0.00012610,501.57
5920,0.00012631,488.52
5930,0.00012653,509.44
5940,0.00012674,507.32
5950,0.00012695,388.14
5960,0.00012717,315.25
5970,0.00012738,477.98
5980,0.00012759,480.73
5990,0.00012781,501.79
6000,0.00012802,403.11
6010,0.00012823,511.06
6020,0.00012845,483.63
6030,0.00012866,495.95
6040,0.00012887,489.77
6050,0.00012909,495.40
6060,0.00012930,486.12
6070,0.00012951,503.04
6080,0.00012973,479.67
6090,0.00012994,421.44
6100,0.00013015,506.07
6110,0.00013037,492.19
6120,0.00013058,501.49
6130,0.00013079,504.83
6140,0.00013101,478.09
6150,0.00013122,498.19
6160,0.00013143,488.94
6170,0.00013165,491.61
6180,0.00013186,492.31
6190,0.00013207,487.34
6200,0.00013229,500.30
6210,0.00013250,497.93
6220,0.00013271,503.11
6230,0.00013293,476.11
6240,0.00013314,489.85
6250,0.00013335,498.26
6260,0.00013357,504.73
6270,0.00013378,487.62
6280,0.00013399,478.99
6290,0.00013421,459.35
6300,0.00013442,473.55
6310,0.00013463,495.70
6320,0.00013485,492.23
6330,0.00013506,492.10
6340,0.00013527,496.61
6350,0.00013549,499.09
6360,0.00013570,500.47
6370,0.00013591,500.13
6380,0.00013613,486.40
6390,0.00013634,495.32
6400,0.00013655,497.07
6410,0.00013677,498.93
6420,0.00013698,464.14
6430,0.00013719,478.31
6440,0.00013741,504.01
6450,0.00013762,469.50
6460,0.00013783,485.27
6470,0.00013805,462.02
6480,0.00013826,494.24
6490,0.00013847,508.01
6500,0.00013869,490.29
6510,0.00013890,491.59
6520,0.00013911,497.76
6530,0.00013933,480.25
6540,0.00013954,499.95
6550,0.00013975,482.41
6560,0.00013997,505.75
6570,0.00014018,486.95
6580,0.00014039,480.88
6590,0.00014061,482.85
6600,0.00014082,475.42
6610,0.00014103,484.51
6620,0.00014125,480.40
6630,0.00014146,471.17
6640,0.00014167,458.86
6650,0.00014189,491.47
6660,0.00014210,481.62
6670,0.00014231,492.58
6680,0.00014253,478.06
6690,0.00014274,487.34
6700,0.00014295,509.90
6710,0.00014317,486.72
6720,0.00014338,490.68
6730,0.00014359,496.20
6740,0.00014381,500.70
6750,0.00014402,496.67
6760,0.00014423,493.31
6770,0.00014445,470.39
6780,0.00014466,488.02
6790,0.00014487,495.98
6800,0.00014509,496.80
6810,0.00014530,496.89
6820,0.00014551,492.99
6830,0.00014573,492.15
6840,0.00014594,482.59
6850,0.00014615,496.79
6860,0.00014637,485.13
6870,0.00014658,493.01
6880,0.00014679,489.73
6890,0.00014701,485.30
6900,0.00014722,502.94
6910,0.00014743,494.60
6920,0.00014765,495.38
6930,0.00014786,504.23
6940,0.00014807,482.95
6950,0.00014829,496.39
6960,0.00014850,489.80
6970,0.00014871,500.97
6980,0.00014893,494.38
6990,0.00014914,486.66
7000,0.00014935,491.41
7010,0.00014957,484.84
7020,0.00014978,489.83
7030,0.00014999,492.57
7040,0.00015021,499.68
7050,0.00015042,470.44
7060,0.00015063,512.99
7070,0.00015085,485.16
7080,0.00015106,478.33
7090,0.00015127,490.07
7100,0.00015149,481.67
7110,0.00015170,494.36
7120,0.00015191,484.63
7130,0.00015213,502.93
7140,0.00015234,483.88
7150,0.00015255,490.16
7160,0.00015277,488.42
7170,0.00015298,502.83
7180,0.00015319,499.11
7190,0.00015341,493.25
7200,0.00015362,480.62
